"id","zobrazení_cz","zobrazení_lat","nazev_cz","nazev_lat","url","skupina","nemoci","tcm_organy","ucinky","Cast-rostliny","sber","stanoviste","barva kvetu","Bezpečnost","zobrazení"
"R0001","andelika čínská","angelica sinensis","andelika_cinska","angelica_sinensis","https://www.brvohorik.cz/l/andelika-cinska/","bylina","hormonalni_nerovnovaha | poruchy_menstruace | bolestiva_menstruace | bolesti_hlavy | kvasinkove_infekce | neplodnost | menopauza | klimaktericke_potize | anemie | unava | vycerpani | stres | uzkost | podpora_krevniho_obehu | chladne_koncetiny | bolesti_bricha | krece | zanety_jater | cirhoza_jater | prevence_rakoviny | nemoci_kuze | dermatoza | alopecie | posileni_imunity | rekonvalescence","jatra | srdce | slezina | ledviny","analgeticke | antioxidacni | protizanetlive | imunostimulacni | detoxikacni | rekonvalescencni | tonizacni | hepatoprotektivni | protirakovinne | tonizuje_jatra | tonizuje_a_vyzivuje_krev | snizuje_krevni tlak | snizuje_hladinu_cholesterolu | snizuje_hladinu_cukru_v_krvi | chrani_jatra | reguluje_menstruaci | reguluje_funkci_delohy | reguluje_vypadavani_vlasu","koren","koren: rijen | listopad","pěstované_plochy|horske_oblasti","bila | zelena","2","on"
"R0002","andelika lékařská","angelica archangelica","andelika lekarska","angelica_archangelica","https://www.brvohorik.cz/l/andelika-lekarska/","bylina","poruchy_traveni | nadymani | krece_traviciho_traktu | kinetoza | nechutenstvi | podpora_chuti_k_jidlu | zanety_traviciho_traktu | zanety_dychacich_cest | zahleneni_prudusek_a_plic | ucpany_nos | ucpane_nosni_dutiny | kasel | nachlazeni | chripka | horecka | posileni_imunity | podpora_krevniho_obehu | chladne_koncetiny | zpozdena_menstruace | unava | vycerpani | rekonvalescence","slezina | žaludek | žlučník | plíce","antisepticke | protizanetlive | imunostimulacni | rekonvalescencni | reguluje_menstruaci | podporuje_traveni | podporuje_funkci_zaludku | podporuje_funkci_slinivky | podporuje_funkci_zlucniku | hepatoprotektivni | prokrvuje_vnitrni_organy","koren | semeno | poupata","semeno: srpen | zari ; koren: zari | rijen","vlhke_louky|brehy_vod|horské_oblasti","bila | zelena","2","on"
"R0003","angínovník čínský","belamcanda chinensis","anginovnik_cinsky","belamcanda_chinensis","https://www.brvohorik.cz/l/anginovnik/","bylina","angina | zanet_mandli | bolesti_v_krku | zanety_dutiny_ustni | zanety_dychacich_cest | zanet_prudusek | bronchitida | kasel | zahleneni | nachlazeni | chripka | horecka | slaba_imunita | nemoci_ledvin | zanety | unava | revma | nechutenstvi | anorexie | zacpa | rekonvalescence","plíce | ledviny | játra","analgeticke | antisepticke | antirevmaticke | protizanetlive | antibakterialni | protivirove | antimykoticke | imunostimulacni | detoxikacni | rekonvalescencni | protizanetlive | hepatoprotektivni | projimave | mocopudne | regeneracni | protinadorove | zpomaluje_rust_rakoviny | chrani_jatra | podporuje_uzdraveni_jater | podporuje_chut_k_jidlu","list | oddenek","list: kveten | cerven | cervenec | srpen | zari ; oddenek: zari | rijen | listopad","pěstované_plochy|interiery|zahrady","oranzova | cervena","1","on"
"R0004","argánie trnitá","argania spinosa","argánie_trnita","argania_spinosa","https://www.brvohorik.cz/l/arganie-trnita/","strom","srdce | cevy | krevni_obeh | vysoky_cholesterol | vysoky_krevni_tlak | zanety | kozni_problemy | sucha_kuze | ekzemy | lupenka | akne | vlasy | nehty | unava | problemy_s_koncentraci | poruchy_traveni | rakovina_jater | rakovina_prostaty","srdce | tlusté střevo | játra","hojive | vyzivujici | zvlacnujici | zjemnujici | hydratacni | regeneracni | protizanetlive | antioxidacni | imunostimulacni | pomaha_regenerovat_pokozku | posileni_vlasu | regenerace_vlasu | zdrave_nehty | snizuje_krevni_tlak | snizuje_hladinu_cholesterolu | chrani_srdce | chrani_cevy | podporuje_traveni | podporuje_funkci_mozku | protinadorove | omlazujici","plod | semeno","plod: cervenec | srpen","sucha_oblasti|polopouste","zluta | zelena","1","on"
"R0005","bakopa drobnolistá","bacopa monnieri","bakopa_drobnolista","bacopa_monnieri","https://www.brvohorik.cz/l/bakopa-drobnolista/","bylina","poruchy_koncentrace | uceni | stres | uzkost | nervove_napeti | nespavost | deprese | unava | vycerpani | kozni_potize | poruchy_traveni | dychaci_potize | potize_se_zlucnikem | slabe_vlasy | rekonvalescence","tlusté střevo | plíce | ledviny","neuroprotektivni | relaxacni | zklidnujici | posiluje mozek | podporuje_pamet | zlepsuje_koncentraci | zlepsuje_kognitivni_funkce | vykonnost | snizuje_stres | podporuje_pozitivni_naladu | podporuje_dusevni_rovnovahu | podporuje_psychickou_pohodu | pomaha_zvladat_stres | zlepsuje_kvalitu_spanku | regeneracni | rekonvalescencni | antioxidacni | protizanetlive | normalni_funkce_zlucniku | podporuje_traveni | podporuje_dychaci_system | zlepsuje_kvalitu_vlasu | zlepsuje_kvalitu_pokozky | priznive_pusobi_na_mozek | priznive_pusobi_na_nervovy_system | osvezujici","nat","nat: cerven | cervenec | srpen | zari","vlhka_stanoviste|mokřady|pěstované_plochy","bila","1","on"
"R0006","bazalka posvátná","ocimum tenuiflorum","bazalka_posvatna","ocimum_tenuiflorum","https://www.brvohorik.cz/l/bazalka-posvatna-(tulsi)/","bylina","stres | uzkost | nervy | oxidativni_stres | kasel | nachlazeni | chripka | chrapani | oslabena_imunita | zanety | metabolicky_syndrom | histaminova_intolerance | poruchy_traveni | dychaci_potize | vysoky_krevni_tlak | unava | vycerpani","plíce | tlusté střevo | srdce","antisepticke | adaptogenni | protizanetlive | imunostimulacni | neuroprotektivni | antimikrobialni | antibakterialni | antiviroticke | antioxidacni | antistresove | hepatoprotektivni | podporuje_dychaci_system | reguluje_hladinu_cukru_v_krvi | podporuje_traveni | podporuje_psychickou_pohodu | podporuje_dusevni_rovnovahu | podporuje_vitalitu | priznive_pusobi_na_nervovy_system | priznive_pusobi_na_kardiovaskularni_system | uvolnuje_ucpane_dutiny | rozjasnuje_plet | protinadorove | zklidnujici","nat","nat: cerven | cervenec | srpen","pěstované_plochy|zahrady","bila | fialova","1","on"
"R0007","bazalka pravá","ocimum basilicum","bazalka_prava","ocimum_basilicum","https://www.brvohorik.cz/l/bazalka-prava/","bylina","poruchy_traveni | nadymani | paleni_zahy | krece_traviciho_traktu | nechutenstvi | gastritida | kolika | zanety_traviciho_traktu | zanety_mocovych_cest | zanety_dutiny_ustni | zanet_prudusek | kasel | tuberkoloza | akne | histaminova_intolerance | potravinove_alergie | ustknuti_hadem | ustknuti_stirem | nizky_krevni_tlak | kasel | nachlazeni | chripka | svalove_krece | nervove_napeti | nervozita | migrena | bolesti_hlavy | unava | vycerpani | nespavost | stres | uzkost | odreniny | rany","tlusté_střevo | plíce | slezina | močový měchýř","antisepticke | antimikrobialni | antibakterialni | antiviroticke | antifungicidni | antioxidacni | detoxikacni | protizanetlive | imunostimulacni | hojive | osvezujici | povzbuzujici | zklidnujici | antistresove | podporuje_pozitivni_naladu | podporuje_psychickou_pohodu | zlepsuje_koncentraci | podporuje_dychaci_system | podporuje_traveni | podporuje_funkci_sleziny | pusobi_proti_bolestem_hlavy_a_migrenam | priznive_pusobi_na_nervovy_system | proti_ustknuti | cisti_plet | priznive_pusobi_na_pokozku | zlepsuje_kvalitu_vlasu_a_pokozky | urychluje_hojeni_ran_a_odrenin | odkyseluje_organismus | podporuje_chut_k_jidlu | pusobi_jako_intihistaminikum | dezinfekcni_ucinky | podporuje_laktaci | mirne_zvysuje_krevni_tlak | pusobi_proti_svalovym_krecim","nat","nat: cerven | cervenec | srpen","pěstované_plochy|zahrady","bila","1","on"
"R0008","bazanka vytrvalá","helleborus viridis","bazanka_vytrvala","helleborus_viridis","https://www.brvohorik.cz/l/bazanka-vytrvala/","bylina","zacpa | poruchy_traveni | zanety_traviciho_traktu | zanety_dychacich_cest | bronchitida | nachlazeni | zanet_spojivek | poruchy_pigmentace_kuze | kozni_problemy | ekzemy | rany | popaleniny | otoky | gynekologicke_potize | hemoroidy | revmatismus | vysoky_krevni_tlak | vysoka_hladina_cukru_v_krvi | zanety","tlusté_střevo | plíce | krevní_oběh","projimave | mocopudne | antisepticke | protizanetlive | hojive | detoxikacni | antidiabeticke | antihypertenzni","nat","nat: brezen | duben","vlhke_louky|okraje_vod|vlhke_listnate_lesy","bila | zelena","2","on"
"R0009","benedikt čubet","cnicus benedictus","benedikt_cubet","cnicus_benedictus","https://www.brvohorik.cz/l/benedikt-cubet/","bylina","poruchy_traveni | poruchy_zazivani | nadymani | hnilobne_procesy_ve_strevech | tezkost_po_jidle | nechutenstvi | suchost_v_ustech | zaludecni_potize | zlucnikove_potize | nemoci_zlucniku | jaterni_potize | nemoci_jater | zanety_traviciho_traktu | zlaty_stafylokok | staphylococcus_faecalis | kozni_potize | zanety_kuze | ekzemy | lupenka | pasovy_opar | bercove_vredy | dychaci_potize | horecka | zanety | unava | vycerpani | revmatismus | dna","játra | žlučník | žaludek","protizanetlive | antimikrobialni | antibakterialni | antiviroticke | antisepticke | desinfekcni | antioxidacni | metabolicke | hojive | podporuje_traveni | stimuluje_tvorbu_travicich_stav | podporuje_tvorbu_zluci | podporuje_tvorbu_slin | pomaha_vylucovat_kyselinu_mocovou | podporuje_dychaci_system | priznive_pusobi_na_pokozku | pomaha_regenerovat_pokozku | cisti_jatra | cisti_zlucnik | podporuje_funkci_jater | podporuje_funkci_zlucniku | normalni_funkce_jater | normalni_funkce_zlucniku | normalni_funkce_zaludku | podporuje_chut_k_jidlu | posiluje_imunitu | imunostimulacni | snizuje_horecku | povzbuzujici | doplnuje_zivotni_energii | reguluje_metabolismus | pusobi_proti_agresivnim_bakteriim | regeneracni","nat","nat: cerven | cervenec","pěstované_plochy|sucha_stanoviste","zluta","1","on"
"R0010","bez černý","sambucus nigra","bez_cerny","sambucus nigra","https://www.brvohorik.cz/l/bez-cerny/","ker","nachlazeni | chripka | horecka | kasel | zanety dychacich cest | posileni imunity | poceni | detoxikace | cisteni krve | revmaticke potize | kozni zanety | antioxidant | unava | rekonvalescence ","plíce|ledviny","antisepticke|hojive|protizanetlive|zahrivaci","kvet|plod","kvet:kveten | cerven;plod:srpen | zari","okraje_lesu|krovi|zahrady","bila",1,"on"
